Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2019,AGO,31825000,Gambos (ex-Chiange),current,2019-07-01,2019-09-30,5,0,0
Aug 2019,AGO,31825000,Gambos (ex-Chiange),first projection,2019-10-01,2020-02-29,all,79462,1.0
Aug 2019,AGO,31825000,Gambos (ex-Chiange),first projection,2019-10-01,2020-02-29,3+,54387,0.69
Aug 2019,AGO,31825000,Gambos (ex-Chiange),first projection,2019-10-01,2020-02-29,1,5120,0.06
Aug 2019,AGO,31825000,Gambos (ex-Chiange),first projection,2019-10-01,2020-02-29,2,19955,0.25
Aug 2019,AGO,31825000,Gambos (ex-Chiange),first projection,2019-10-01,2020-02-29,3,21897,0.28
Aug 2019,AGO,31825000,Gambos (ex-Chiange),first projection,2019-10-01,2020-02-29,4,32490,0.41
Aug 2019,AGO,31825000,Gambos (ex-Chiange),first projection,2019-10-01,2020-02-29,5,0,0
Aug 2019,AGO,31825000,Matala,current,2019-07-01,2019-09-30,all,190606,1.0
Aug 2019,AGO,31825000,Matala,current,2019-07-01,2019-09-30,3+,49136,0.26
Aug 2019,AGO,31825000,Matala,current,2019-07-01,2019-09-30,1,96292,0.51
Aug 2019,AGO,31825000,Matala,current,2019-07-01,2019-09-30,2,45179,0.24
Aug 2019,AGO,31825000,Matala,current,2019-07-01,2019-09-30,3,28097,0.15
Aug 2019,AGO,31825000,Matala,current,2019-07-01,2019-09-30,4,21039,0.11
Aug 2019,AGO,31825000,Matala,current,2019-07-01,2019-09-30,5,0,0
Aug 2019,AGO,31825000,Matala,first projection,2019-10-01,2020-02-29,all,190606,1.0
Aug 2019,AGO,31825000,Matala,first projection,2019-10-01,2020-02-29,3+,66289,0.35
Aug 2019,AGO,31825000,Matala,first projection,2019-10-01,2020-02-29,1,74687,0.39
Aug 2019,AGO,31825000,Matala,first projection,2019-10-01,2020-02-29,2,49629,0.26
Aug 2019,AGO,31825000,Matala,first projection,2019-10-01,2020-02-29,3,33886,0.18
Aug 2019,AGO,31825000,Matala,first projection,2019-10-01,2020-02-29,4,32403,0.17
Aug 2019,AGO,31825000,Matala,first projection,2019-10-01,2020-02-29,5,0,0
Aug 2019,AGO,31825000,Cuchi,current,2019-07-01,2019-09-30,all,39004,1.0
Aug 2019,AGO,31825000,Cuchi,current,2019-07-01,2019-09-30,3+,24342,0.62
Aug 2019,AGO,31825000,Cuchi,current,2019-07-01,2019-09-30,1,4218,0.11
Aug 2019,AGO,31825000,Cuchi,current,2019-07-01,2019-09-30,2,10444,0.27
Aug 2019,AGO,31825000,Cuchi,current,2019-07-01,2019-09-30,3,18491,0.47
Aug 2019,AGO,31825000,Cuchi,current,2019-07-01,2019-09-30,4,5851,0.15
Aug 2019,AGO,31825000,Cuchi,current,2019-07-01,2019-09-30,5,0,0
Aug 2019,AGO,31825000,Cuchi,first projection,2019-10-01,2020-02-29,all,39004,1.0
Aug 2019,AGO,31825000,Cuchi,first projection,2019-10-01,2020-02-29,3+,30193,0.77
Aug 2019,AGO,31825000,Cuchi,first projection,2019-10-01,2020-02-29,1,2101,0.05
Aug 2019,AGO,31825000,Cuchi,first projection,2019-10-01,2020-02-29,2,6711,0.17
Aug 2019,AGO,31825000,Cuchi,first projection,2019-10-01,2020-02-29,3,24342,0.62
Aug 2019,AGO,31825000,Cuchi,first projection,2019-10-01,2020-02-29,4,5851,0.15
Aug 2019,AGO,31825000,Cuchi,first projection,2019-10-01,2020-02-29,5,0,0
Aug 2019,AGO,31825000,Cuangar,current,2019-07-01,2019-09-30,all,28459,1.0
Aug 2019,AGO,31825000,Cuangar,current,2019-07-01,2019-09-30,3+,14474,0.5
Aug 2019,AGO,31825000,Cuangar,current,2019-07-01,2019-09-30,1,6659,0.23
Aug 2019,AGO,31825000,Cuangar,current,2019-07-01,2019-09-30,2,7325,0.26
Aug 2019,AGO,31825000,Cuangar,current,2019-07-01,2019-09-30,3,9999,0.35
Aug 2019,AGO,31825000,Cuangar,current,2019-07-01,2019-09-30,4,4475,0.15
Aug 2019,AGO,31825000,Cuangar,current,2019-07-01,2019-09-30,5,0,0
Aug 2019,AGO,31825000,Cuangar,first projection,2019-10-01,2020-02-29,all,28459,1.0
Aug 2019,AGO,31825000,Cuangar,first projection,2019-10-01,2020-02-29,3+,15709,0.55
Aug 2019,AGO,31825000,Cuangar,first projection,2019-10-01,2020-02-29,1,5693,0.2
Aug 2019,AGO,31825000,Cuangar,first projection,2019-10-01,2020-02-29,2,7057,0.25
Aug 2019,AGO,31825000,Cuangar,first projection,2019-10-01,2020-02-29,3,10587,0.37
Aug 2019,AGO,31825000,Cuangar,first projection,2019-10-01,2020-02-29,4,5122,0.18
Aug 2019,AGO,31825000,Cuangar,first projection,2019-10-01,2020-02-29,5,0,0
Mar 2024,BEN,12910087,Oueme,current,2024-03-01,2024-05-31,all,519639,1.0
Mar 2024,BEN,12910087,Oueme,current,2024-03-01,2024-05-31,3+,39117,0.08
Mar 2024,BEN,12910087,Oueme,current,2024-03-01,2024-05-31,1,368421,0.71
Mar 2024,BEN,12910087,Oueme,current,2024-03-01,2024-05-31,2,112101,0.22
Mar 2024,BEN,12910087,Oueme,current,2024-03-01,2024-05-31,3,39117,0.08
Mar 2024,BEN,12910087,Oueme,current,2024-03-01,2024-05-31,4,0,0
Mar 2024,BEN,12910087,Oueme,current,2024-03-01,2024-05-31,5,0,0
Mar 2024,BEN,12910087,Oueme,first projection,2024-06-01,2024-08-31,all,636768,1.0
Mar 2024,BEN,12910087,Oueme,first projection,2024-06-01,2024-08-31,3+,16891,0.03
Mar 2024,BEN,12910087,Oueme,first projection,2024-06-01,2024-08-31,1,552422,0.87
Mar 2024,BEN,12910087,Oueme,first projection,2024-06-01,2024-08-31,2,67456,0.11
Mar 2024,BEN,12910087,Oueme,first projection,2024-06-01,2024-08-31,3,16891,0.03
Mar 2024,BEN,12910087,Oueme,first projection,2024-06-01,2024-08-31,4,0,0
Mar 2024,BEN,12910087,Oueme,first projection,2024-06-01,2024-08-31,5,0,0
Mar 2024,BEN,12910087,Atlantique,current,2024-03-01,2024-05-31,all,1367813,1.0
Mar 2024,BEN,12910087,Atlantique,current,2024-03-01,2024-05-31,3+,55423,0.04
Mar 2024,BEN,12910087,Atlantique,current,2024-03-01,2024-05-31,1,1090569,0.8
Mar 2024,BEN,12910087,Atlantique,current,2024-03-01,2024-05-31,2,221821,0.16
Mar 2024,BEN,12910087,Atlantique,current,2024-03-01,2024-05-31,3,55423,0.04
Mar 2024,BEN,12910087,Atlantique,current,2024-03-01,2024-05-31,4,0,0
Mar 2024,BEN,12910087,Atlantique,current,2024-03-01,2024-05-31,5,0,0
Mar 2024,BEN,12910087,Atlantique,first projection,2024-06-01,2024-08-31,all,1442180,1.0
Mar 2024,BEN,12910087,Atlantique,first projection,2024-06-01,2024-08-31,3+,27528,0.02
Mar 2024,BEN,12910087,Atlantique,first projection,2024-06-01,2024-08-31,1,1280924,0.89
Mar 2024,BEN,12910087,Atlantique,first projection,2024-06-01,2024-08-31,2,133728,0.09
Mar 2024,BEN,12910087,Atlantique,first projection,2024-06-01,2024-08-31,3,27528,0.02
Mar 2024,BEN,12910087,Atlantique,first projection,2024-06-01,2024-08-31,4,0,0
Mar 2024,BEN,12910087,Atlantique,first projection,2024-06-01,2024-08-31,5,0,0
Mar 2024,BEN,12910087,Couffo,current,2024-03-01,2024-05-31,all,961750,1.0
Mar 2024,BEN,12910087,Couffo,current,2024-03-01,2024-05-31,3+,38655,0.04
Mar 2024,BEN,12910087,Couffo,current,2024-03-01,2024-05-31,1,710599,0.74
Mar 2024,BEN,12910087,Couffo,current,2024-03-01,2024-05-31,2,212496,0.22
Mar 2024,BEN,12910087,Couffo,current,2024-03-01,2024-05-31,3,38655,0.04
Mar 2024,BEN,12910087,Couffo,current,2024-03-01,2024-05-31,4,0,0
Mar 2024,BEN,12910087,Couffo,current,2024-03-01,2024-05-31,5,0,0
Mar 2024,BEN,12910087,Couffo,first projection,2024-06-01,2024-08-31,all,961750,1.0
Mar 2024,BEN,12910087,Couffo,first projection,2024-06-01,2024-08-31,3+,12234,0.01
Mar 2024,BEN,12910087,Couffo,first projection,2024-06-01,2024-08-31,1,803959,0.84
Mar 2024,BEN,12910087,Couffo,first projection,2024-06-01,2024-08-31,2,145557,0.15
Mar 2024,BEN,12910087,Couffo,first projection,2024-06-01,2024-08-31,3,12234,0.01
Mar 2024,BEN,12910087,Couffo,first projection,2024-06-01,2024-08-31,4,0,0
Mar 2024,BEN,12910087,Couffo,first projection,2024-06-01,2024-08-31,5,0,0
Mar 2024,BEN,12910087,Atacora,current,2024-03-01,2024-05-31,all,571158,1.0
Mar 2024,BEN,12910087,Atacora,current,2024-03-01,2024-05-31,3+,30687,0.05
Mar 2024,BEN,12910087,Atacora,current,2024-03-01,2024-05-31,1,457622,0.8
Mar 2024,BEN,12910087,Atacora,current,2024-03-01,2024-05-31,2,82850,0.15
Mar 2024,BEN,12910087,Atacora,current,2024-03-01,2024-05-31,3,30687,0.05
Mar 2024,BEN,12910087,Atacora,current,2024-03-01,2024-05-31,4,0,0
Mar 2024,BEN,12910087,Atacora,current,2024-03-01,2024-05-31,5,0,0
Mar 2024,BEN,12910087,Atacora,first projection,2024-06-01,2024-08-31,all,996504,1.0
Mar 2024,BEN,12910087,Atacora,first projection,2024-06-01,2024-08-31,3+,62372,0.06
Mar 2024,BEN,12910087,Atacora,first projection,2024-06-01,2024-08-31,1,775686,0.78
Mar 2024,BEN,12910087,Atacora,first projection,2024-06-01,2024-08-31,2,158446,0.16
Mar 2024,BEN,12910087,Atacora,first projection,2024-06-01,2024-08-31,3,62372,0.06
Mar 2024,BEN,12910087,Atacora,first projection,2024-06-01,2024-08-31,4,0,0
Mar 2024,BEN,12910087,Atacora,first projection,2024-06-01,2024-08-31,5,0,0
Mar 2024,BEN,12910087,Mono,current,2024-03-01,2024-05-31,all,464041,1.0
Mar 2024,BEN,12910087,Mono,current,2024-03-01,2024-05-31,3+,34259,0.07
Mar 2024,BEN,12910087,Mono,current,2024-03-01,2024-05-31,1,349891,0.75
Mar 2024,BEN,12910087,Mono,current,2024-03-01,2024-05-31,2,79891,0.17
Mar 2024,BEN,12910087,Mono,current,2024-03-01,2024-05-31,3,34259,0.07
Mar 2024,BEN,12910087,Mono,current,2024-03-01,2024-05-31,4,0,0
Mar 2024,BEN,12910087,Mono,current,2024-03-01,2024-05-31,5,0,0
Mar 2024,BEN,12910087,Mono,first projection,2024-06-01,2024-08-31,all,641629,1.0
Mar 2024,BEN,12910087,Mono,first projection,2024-06-01,2024-08-31,3+,23876,0.04
Mar 2024,BEN,12910087,Mono,first projection,2024-06-01,2024-08-31,1,547705,0.85
Mar 2024,BEN,12910087,Mono,first projection,2024-06-01,2024-08-31,2,70048,0.11
Mar 2024,BEN,12910087,Mono,first projection,2024-06-01,2024-08-31,3,23876,0.04
Mar 2024,BEN,12910087,Mono,first projection,2024-06-01,2024-08-31,4,0,0
Mar 2024,BEN,12910087,Mono,first projection,2024-06-01,2024-08-31,5,0,0
Mar 2024,BEN,12910087,Zou,current,2024-03-01,2024-05-31,all,850846,1.0
Mar 2024,BEN,12910087,Zou,current,2024-03-01,2024-05-31,3+,48377,0.06
Mar 2024,BEN,12910087,Zou,current,2024-03-01,2024-05-31,1,664897,0.78
Mar 2024,BEN,12910087,Zou,current,2024-03-01,2024-05-31,2,137572,0.16
Mar 2024,BEN,12910087,Zou,current,2024-03-01,2024-05-31,3,48377,0.06
Mar 2024,BEN,12910087,Zou,current,2024-03-01,2024-05-31,4,0,0
Mar 2024,BEN,12910087,Zou,current,2024-03-01,2024-05-31,5,0,0
Mar 2024,BEN,12910087,Zou,first projection,2024-06-01,2024-08-31,all,1098855,1.0
Mar 2024,BEN,12910087,Zou,first projection,2024-06-01,2024-08-31,3+,25230,0.02
Mar 2024,BEN,12910087,Zou,first projection,2024-06-01,2024-08-31,1,951419,0.87
Mar 2024,BEN,12910087,Zou,first projection,2024-06-01,2024-08-31,2,122206,0.11
Mar 2024,BEN,12910087,Zou,first projection,2024-06-01,2024-08-31,3,25230,0.02
Mar 2024,BEN,12910087,Zou,first projection,2024-06-01,2024-08-31,4,0,0
Mar 2024,BEN,12910087,Zou,first projection,2024-06-01,2024-08-31,5,0,0
Mar 2024,BEN,12910087,Donga,current,2024-03-01,2024-05-31,all,355262,1.0
Mar 2024,BEN,12910087,Donga,current,2024-03-01,2024-05-31,3+,38688,0.11
